'E então como é que tá RS Pretto Onyx Heinze e Eduardo Leite já estão se atacando \n#DebateNaBandRS', 'neutral'
'Um debate duro até aqui Duro de se ver #DebateNaBandRS', 'neutral'
'Onix é quem tende conquistar os votos bolsonaristas - só fala presidente e Governo Federal Heinze tem bem mais propriedade sobre os problemas estado mas não é isso que o eleitor médio bolsonarista quer ouvir \n#DebateNaBandRS', 'neutral'
'@NetoRoberto5 @onyxlorenzoni ', 'neutral'
'@CamilaPazCosta1 @EdegarPretto URSAL Só que não', 'neutral'
'@ferreropedroo @mariadorosario @EdegarPretto ', 'neutral'
'@NetoRoberto5 @onyxlorenzoni ', 'neutral'
'Processo Seletivo já RS\n#JobimNaBand ', 'neutral'
'Terceiro bloco com tema livre Candidato escolhe quem vai responder #DebateNaBandRS', 'neutral'
'@bandrs 45 o melhor para o RS  #UniãoBrasilRS #DebatenaBandRS', 'neutral'
'#ricardojobim #DebateNaBandRS', 'neutral'
'Esse #DebateNaBandRS deveria ter regra básica de pelo menos os candidatos se manterem mesmo assunto\n\nUm pergunta sobre desenvolvimento o outro responde sobre o que quer \n\nBizarro', 'neutral'
'#DebateNaBandRS ', 'neutral'
'@NetoRoberto5 @onyxlorenzoni ', 'neutral'
'@MarioDCaetano1 @mariadorosario @EdegarPretto 8 ', 'neutral'
'@EduardoLeite_ Kkkkkk', 'neutral'
'@mariadorosario @EdegarPretto Vdd', 'neutral'
'Foi dada largada \n#DebateNaBand\n#DebateNaBandRS ', 'neutral'
'Começou o 3° Bloco\n#DebateNaBandRS ', 'neutral'
'Agora todEs os candidatos usam camisas claras ternos azuis\n\n#debatenabandrs', 'neutral'
'@EngZini @EduardoLeite_ ', 'neutral'
'Início Debate ao Governo Rio Grande Sul\n\n#DebateNaBandRS #BandRS #Eleições2022 ', 'neutral'
'@bandrs @EdegarPretto foi o mais votado partido nas três eleições em que participou e líder da bancada petista governo @TarsoGenro Em 2017 foi presidente da\n@AssembleiaRS e na última eleição fez votos em 473 municípios\n#LulaOlivioPrettoRuas #DebatenaBandRS', 'neutral'
'Vou fazer Integração Transporte Coletivo em POA Passagem única para quem anda de ônibus na região metropolitana\n#DebatenaBandRS #Heinze', 'neutral'
'@Heinzeoficial Eu acho que os ônibus que vem da grande Porto Alegre não deveriam passar das fronteiras da cidade pois comprometem o trânsito nas grandes avenidas', 'neutral'
'Candidato Ricardo Jobim falando “a classe política” como se o NOVO não fosse um partido político #DebateNaBandRS', 'neutral'
'Jobim escolheu Edegar\nCitou Tarso e diz que ele deixou o RS quebrado Pergunta se PT vai aumentar impostos Edegar disse que nos governos petistas RS não teve aumento de impostos e nem venda de patrimônio Recorda que não teve atraso de salários de servidores #DebateNaBandRS', 'neutral'
'Um debate em que tá o Heinze faz falta o Maroni Ele teria coragem de perguntar pela Mia #DebateNaBandRS', 'neutral'
'21h06 - Porto Alegre\n\nGlobo #Fantástico 201\nRecord #DomingoEspetacular 65\nSBT  #ProgramaSilvioSantos 63\nRecord #Encrenca 24\nBand #DebateNaBandRS 18\n\nLuizao Band', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ primeiro bloco de debate segundo programa O primeiro programa foi só uma apresentação', 'neutral'
'Debate aqui @TwitterBrasil tá melhor que lá na @bandrs \n\n#DebateNaBandRS ', 'neutral'
'Um olho Caetano e outro debate #DebatenaBand #DebateNaBandRS #EdegarPretto', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ Na réplica @RicardoJobim30 diz que @edegarpretto votou favor aumento de impostos E afirma que terá o primeiro governo liberal da história RS #DebateNaBandRS', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ Então @EdegarPretto diz que o RS quando governado pelo PT teve crescimento e geração de empregos E cita que o RS tem 12 milhão abaixo da linha da pobreza com cesta básica mais cara país #DebateNaBandRS', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ O candidato @RicardoJobim30 pergunta @edegarpretto se ele pretende aumentar impostos caso seja eleito e afirma que o PT deixou o Estado quebrado', 'neutral'
'Agora debate @EdegarPretto fala sobre agricultura familiar e alimentação saudável nas escolas pauta que tanto levamos Além de garantir que nossos estudantes não passem fome pois na escola muitas vezes é sua única alimentação #DebateNaBandRS #LulaOlivioPrettoRuas', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ Não deu nem para respirar Começa o terceiro blogo programa segundo de debate com tema livre #DebateNaBandRS', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ além de deixar professores sem reposição salarial\n\nAcaba o primeiro bloco #DebateNaBandRS  Como um café com leite frio', 'neutral'
'@bandrs sem volume intervalo Os anunciantes devem estar felizes #DebateNaBandRS', 'neutral'
'Para evitar fadiga vou apenas fazer comentários irrelevantes sobre o #DebateNaBandRS Esclarecido isso o Vicente Bogo é o mais bem vestido\n\nSua réplica @faneinbox', 'neutral'
'Tu vê que até o Oziris tá desanimado coitado #DebateNaBandRS', 'neutral'
'@RicardoJobim30 @VieiraPDT @EdegarPretto @LulaOficial @Heinzeoficial @vicentebogo @onyxlorenzoni @jairbolsonaro @EduardoLeite_ O professor @vicentebogo aproveita pergunta e diz que escolas precisam ter estruturas como laboratórios de informática e mecatrônica\n\nNa tréplica @EdegarPretto critica @EduardoLeite_  diz que não consegue entender como o governo se orgulha de superávit e abandona escolas', 'neutral'
'@ferreropedroo @mariadorosario @EdegarPretto Realidade ', 'neutral'
'eu voto em qualquer um que fizer parar de chover em porto alegre #DebateNaBandRS', 'neutral'
'@matheuspggomes Candidato Argenta fazendo propaganda de sua própria empresa durante o debate e se manifestando sobre redução de secretarias e falando em cabide de empregos''\n#DebateNaBandRS', 'neutral'
'@bandrs Precisamos ser parceiros retomar um projeto de desenvolvimento regional e integrado com uma política industrial que considere os desafios econômicos” @EdegarPretto #DebatenaBandRS #LulaOlivioPrettoRuas', 'neutral'
'O acesso à água é direito de todos e dever Estado #LulaOlivioEdegarRuas #DebateNaBandRS ', 'neutral'
'#DebateNaBandRS  ', 'neutral'
'@mariadorosario @EdegarPretto ', 'neutral'
